Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Mujeres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2023;36,68
Mujeres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2022;41,85
Mujeres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2021;49,38
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2023;23,52
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2022;25,25
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2021;30,19
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;29,18
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;30,02
Mujeres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;37,97
Mujeres;De 20 a 24 años;Educación superior;2023;19,5
Mujeres;De 20 a 24 años;Educación superior;2022;20,73
Mujeres;De 20 a 24 años;Educación superior;2021;23,24
Mujeres;De 25 a 29 años;Total;2023;16,22
Mujeres;De 25 a 29 años;Total;2022;17,4
Mujeres;De 25 a 29 años;Total;2021;21,48
Mujeres;De 25 a 29 años;Analfabetos;2023;55,09
Mujeres;De 25 a 29 años;Analfabetos;2022;0
Mujeres;De 25 a 29 años;Analfabetos;2021;0
Mujeres;De 25 a 29 años;Estudios primarios incompletos;2023;13,49
Mujeres;De 25 a 29 años;Estudios primarios incompletos;2022;15,21
Mujeres;De 25 a 29 años;Estudios primarios incompletos;2021;31,43
Mujeres;De 25 a 29 años;Educación primaria;2023;40,51
Mujeres;De 25 a 29 años;Educación primaria;2022;37,49
Mujeres;De 25 a 29 años;Educación primaria;2021;48,75
Mujeres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2023;29,49
Mujeres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2022;31,51
Mujeres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2021;35,86
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2023;22,25
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2022;15,94
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2021;27,1
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;16,29
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;20,94
Mujeres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;20,54
Mujeres;De 25 a 29 años;Educación superior;2023;11,48
Mujeres;De 25 a 29 años;Educación superior;2022;13,19
Mujeres;De 25 a 29 años;Educación superior;2021;15,76
Mujeres;De 30 a 44 años;Total;2023;12,37
Mujeres;De 30 a 44 años;Total;2022;13,13
Mujeres;De 30 a 44 años;Total;2021;14,71
Mujeres;De 30 a 44 años;Analfabetos;2023;41,25
Mujeres;De 30 a 44 años;Analfabetos;2022;38,3
Mujeres;De 30 a 44 años;Analfabetos;2021;48,8
Mujeres;De 30 a 44 años;Estudios primarios incompletos;2023;26,29
Mujeres;De 30 a 44 años;Estudios primarios incompletos;2022;32,38
Mujeres;De 30 a 44 años;Estudios primarios incompletos;2021;36,39
Mujeres;De 30 a 44 años;Educación primaria;2023;29,04
Mujeres;De 30 a 44 años;Educación primaria;2022;33,16
Mujeres;De 30 a 44 años;Educación primaria;2021;28,32
Mujeres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2023;20,71
Mujeres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2022;21,25
Mujeres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2021;24,51
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2023;13,97
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2022;18,14
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2021;17
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;13,63
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;14,76
Mujeres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;16,7
Mujeres;De 30 a 44 años;Educación superior;2023;7,85
Mujeres;De 30 a 44 años;Educación superior;2022;7,7
Mujeres;De 30 a 44 años;Educación superior;2021;9,42
Mujeres;De 45 a 54 años;Total;2023;11,92
Mujeres;De 45 a 54 años;Total;2022;13,39
Mujeres;De 45 a 54 años;Total;2021;14,74
Mujeres;De 45 a 54 años;Analfabetos;2023;42,48
Mujeres;De 45 a 54 años;Analfabetos;2022;59,37
Mujeres;De 45 a 54 años;Analfabetos;2021;67,18
Mujeres;De 45 a 54 años;Estudios primarios incompletos;2023;32,03
Mujeres;De 45 a 54 años;Estudios primarios incompletos;2022;33,18
Mujeres;De 45 a 54 años;Estudios primarios incompletos;2021;38,88
Mujeres;De 45 a 54 años;Educación primaria;2023;25,44
Mujeres;De 45 a 54 años;Educación primaria;2022;33,4
Mujeres;De 45 a 54 años;Educación primaria;2021;31,36
Mujeres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2023;18,36
Mujeres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2022;21,06
Mujeres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2021;22,35
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2023;12,2
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2022;14,36
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2021;15,49
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;13,81
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;14,93
Mujeres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;16,33
Mujeres;De 45 a 54 años;Educación superior;2023;7,03
Mujeres;De 45 a 54 años;Educación superior;2022;7,36
Mujeres;De 45 a 54 años;Educación superior;2021;8,59
Mujeres;55 y más años;Total;2023;12,94
Mujeres;55 y más años;Total;2022;13,05
Mujeres;55 y más años;Total;2021;14,81
Mujeres;55 y más años;Analfabetos;2023;56,32
Mujeres;55 y más años;Analfabetos;2022;42,49
Mujeres;55 y más años;Analfabetos;2021;41,51
Mujeres;55 y más años;Estudios primarios incompletos;2023;27,9
Mujeres;55 y más años;Estudios primarios incompletos;2022;28,16
Mujeres;55 y más años;Estudios primarios incompletos;2021;29,51
Mujeres;55 y más años;Educación primaria;2023;22,33
Mujeres;55 y más años;Educación primaria;2022;20,4
Mujeres;55 y más años;Educación primaria;2021;24,33
Mujeres;55 y más años;Primera etapa de educación secundaria y similar;2023;17,38
Mujeres;55 y más años;Primera etapa de educación secundaria y similar;2022;17,57
Mujeres;55 y más años;Primera etapa de educación secundaria y similar;2021;20,24
Mujeres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2023;12,27
Mujeres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2022;13,87
Mujeres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2021;15,61
Mujeres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;13,87
Mujeres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;13,74
Mujeres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;14,38
Mujeres;55 y más años;Educación superior;2023;7,15
Mujeres;55 y más años;Educación superior;2022;7,17
Mujeres;55 y más años;Educación superior;2021;8,07
