Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2023;20,8
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2022;17,06
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2021;22,9
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;16,94
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;19,09
Ambos sexos;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;22,57
Ambos sexos;De 25 a 29 años;Educación superior;2023;10,73
Ambos sexos;De 25 a 29 años;Educación superior;2022;12,5
Ambos sexos;De 25 a 29 años;Educación superior;2021;15,7
Ambos sexos;De 30 a 44 años;Total;2023;10,49
Ambos sexos;De 30 a 44 años;Total;2022;11,22
Ambos sexos;De 30 a 44 años;Total;2021;12,81
Ambos sexos;De 30 a 44 años;Analfabetos;2023;35,95
Ambos sexos;De 30 a 44 años;Analfabetos;2022;28,3
Ambos sexos;De 30 a 44 años;Analfabetos;2021;39,45
Ambos sexos;De 30 a 44 años;Estudios primarios incompletos;2023;20,53
Ambos sexos;De 30 a 44 años;Estudios primarios incompletos;2022;24,07
Ambos sexos;De 30 a 44 años;Estudios primarios incompletos;2021;27,83
Ambos sexos;De 30 a 44 años;Educación primaria;2023;24,56
Ambos sexos;De 30 a 44 años;Educación primaria;2022;24,83
Ambos sexos;De 30 a 44 años;Educación primaria;2021;24,45
Ambos sexos;De 30 a 44 años;Primera etapa de educación secundaria y similar;2023;14,69
Ambos sexos;De 30 a 44 años;Primera etapa de educación secundaria y similar;2022;16,34
Ambos sexos;De 30 a 44 años;Primera etapa de educación secundaria y similar;2021;18,62
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2023;11,41
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2022;13,21
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2021;13,98
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;10,97
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;11,46
Ambos sexos;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;12,89
Ambos sexos;De 30 a 44 años;Educación superior;2023;6,69
Ambos sexos;De 30 a 44 años;Educación superior;2022;6,76
Ambos sexos;De 30 a 44 años;Educación superior;2021;8,35
Ambos sexos;De 45 a 54 años;Total;2023;9,62
Ambos sexos;De 45 a 54 años;Total;2022;10,84
Ambos sexos;De 45 a 54 años;Total;2021;11,84
Ambos sexos;De 45 a 54 años;Analfabetos;2023;27,6
Ambos sexos;De 45 a 54 años;Analfabetos;2022;31,13
Ambos sexos;De 45 a 54 años;Analfabetos;2021;32,15
Ambos sexos;De 45 a 54 años;Estudios primarios incompletos;2023;20,1
Ambos sexos;De 45 a 54 años;Estudios primarios incompletos;2022;26,61
Ambos sexos;De 45 a 54 años;Estudios primarios incompletos;2021;28,42
Ambos sexos;De 45 a 54 años;Educación primaria;2023;22,58
Ambos sexos;De 45 a 54 años;Educación primaria;2022;27,49
Ambos sexos;De 45 a 54 años;Educación primaria;2021;24,18
Ambos sexos;De 45 a 54 años;Primera etapa de educación secundaria y similar;2023;13,6
Ambos sexos;De 45 a 54 años;Primera etapa de educación secundaria y similar;2022;15,31
Ambos sexos;De 45 a 54 años;Primera etapa de educación secundaria y similar;2021;16,4
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2023;9,42
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2022;11,62
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2021;12,24
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;10,68
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;11,26
Ambos sexos;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;12,42
Ambos sexos;De 45 a 54 años;Educación superior;2023;5,48
Ambos sexos;De 45 a 54 años;Educación superior;2022;5,86
Ambos sexos;De 45 a 54 años;Educación superior;2021;6,91
Ambos sexos;55 y más años;Total;2023;11,08
Ambos sexos;55 y más años;Total;2022;11,39
Ambos sexos;55 y más años;Total;2021;12,92
Ambos sexos;55 y más años;Analfabetos;2023;49,29
Ambos sexos;55 y más años;Analfabetos;2022;39,48
Ambos sexos;55 y más años;Analfabetos;2021;33,96
Ambos sexos;55 y más años;Estudios primarios incompletos;2023;25,23
Ambos sexos;55 y más años;Estudios primarios incompletos;2022;24,42
Ambos sexos;55 y más años;Estudios primarios incompletos;2021;31,23
Ambos sexos;55 y más años;Educación primaria;2023;20,33
Ambos sexos;55 y más años;Educación primaria;2022;20,34
Ambos sexos;55 y más años;Educación primaria;2021;22,87
Ambos sexos;55 y más años;Primera etapa de educación secundaria y similar;2023;14,03
Ambos sexos;55 y más años;Primera etapa de educación secundaria y similar;2022;14,38
Ambos sexos;55 y más años;Primera etapa de educación secundaria y similar;2021;16,15
Ambos sexos;55 y más años;Segunda etapa de educación secundaria, con orientación general;2023;10,64
Ambos sexos;55 y más años;Segunda etapa de educación secundaria, con orientación general;2022;11,33
Ambos sexos;55 y más años;Segunda etapa de educación secundaria, con orientación general;2021;13,15
Ambos sexos;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;11,35
Ambos sexos;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;11,99
Ambos sexos;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;13,93
Ambos sexos;55 y más años;Educación superior;2023;6,11
Ambos sexos;55 y más años;Educación superior;2022;6,14
Ambos sexos;55 y más años;Educación superior;2021;6,77
Hombres;Total;Total;2023;10,58
Hombres;Total;Total;2022;11,27
Hombres;Total;Total;2021;13,05
Hombres;Total;Analfabetos;2023;31,12
Hombres;Total;Analfabetos;2022;26,29
Hombres;Total;Analfabetos;2021;20,99
Hombres;Total;Estudios primarios incompletos;2023;18,22
Hombres;Total;Estudios primarios incompletos;2022;21,45
Hombres;Total;Estudios primarios incompletos;2021;25,97
Hombres;Total;Educación primaria;2023;23,77
Hombres;Total;Educación primaria;2022;24,12
Hombres;Total;Educación primaria;2021;24,48
Hombres;Total;Primera etapa de educación secundaria y similar;2023;13,41
Hombres;Total;Primera etapa de educación secundaria y similar;2022;14,74
Hombres;Total;Primera etapa de educación secundaria y similar;2021;16,66
Hombres;Total;Segunda etapa de educación secundaria, con orientación general;2023;10,97
Hombres;Total;Segunda etapa de educación secundaria, con orientación general;2022;11,69
Hombres;Total;Segunda etapa de educación secundaria, con orientación general;2021;13,2
Hombres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;11,39
Hombres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;11,44
Hombres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;14,09
Hombres;Total;Educación superior;2023;6,05
Hombres;Total;Educación superior;2022;6,29
Hombres;Total;Educación superior;2021;7,95
Hombres;De 16 a 19 años;Total;2023;42,83
Hombres;De 16 a 19 años;Total;2022;45,84
Hombres;De 16 a 19 años;Total;2021;49,96
Hombres;De 16 a 19 años;Analfabetos;2023;..
Hombres;De 16 a 19 años;Analfabetos;2022;0
Hombres;De 16 a 19 años;Analfabetos;2021;0
Hombres;De 16 a 19 años;Estudios primarios incompletos;2023;100
Hombres;De 16 a 19 años;Estudios primarios incompletos;2022;49,7
Hombres;De 16 a 19 años;Estudios primarios incompletos;2021;55,12
Hombres;De 16 a 19 años;Educación primaria;2023;64,59
Hombres;De 16 a 19 años;Educación primaria;2022;57,18
Hombres;De 16 a 19 años;Educación primaria;2021;55,74
Hombres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2023;46,84
Hombres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2022;52,06
Hombres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2021;55,61
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2023;32,63
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2022;34,14
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2021;42,28
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;36,58
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;32,89
Hombres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;41,93
Hombres;De 16 a 19 años;Educación superior;2023;20,01
Hombres;De 16 a 19 años;Educación superior;2022;39,24
Hombres;De 16 a 19 años;Educación superior;2021;17,19
Hombres;De 20 a 24 años;Total;2023;25,48
Hombres;De 20 a 24 años;Total;2022;25,11
Hombres;De 20 a 24 años;Total;2021;30,8
Hombres;De 20 a 24 años;Analfabetos;2023;..
Hombres;De 20 a 24 años;Analfabetos;2022;94,23
Hombres;De 20 a 24 años;Analfabetos;2021;0
Hombres;De 20 a 24 años;Estudios primarios incompletos;2023;70,64
Hombres;De 20 a 24 años;Estudios primarios incompletos;2022;2,23
Hombres;De 20 a 24 años;Estudios primarios incompletos;2021;6,61
Hombres;De 20 a 24 años;Educación primaria;2023;48,96
Hombres;De 20 a 24 años;Educación primaria;2022;46,47
Hombres;De 20 a 24 años;Educación primaria;2021;45,7
Hombres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2023;31,69
Hombres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2022;32,58
Hombres;De 20 a 24 años;Primera etapa de educación secundaria y similar;2021;36,42
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2023;20,14
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2022;23,92
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2021;27,32
